time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010449750000	16.9408	19.1032	4.72662	2.47894	0.526788	radar	3.21422	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.7244	19.2172	4.72468	2.51832	0.538305	lidar	2.62856	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5361	19.3695	4.73523	2.54062	0.534575	radar	3.20741	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.3167	19.5234	4.77383	2.56713	0.533457	lidar	0.872002	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.094	19.6105	4.76193	2.61159	0.55388	radar	9.90654	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.8903	19.7516	4.77772	2.63281	0.54782	lidar	0.806916	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.6996	19.8751	4.75986	2.64402	0.52223	radar	3.50163	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4738	20.0214	4.80108	2.66402	0.515879	lidar	1.52568	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2666	20.1598	4.81373	2.67668	0.499607	radar	6.01888	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0738	20.2912	4.80942	2.69037	0.489801	lidar	1.99688	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8457	20.3756	4.80858	2.72284	0.498401	radar	1.91326	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6291	20.4934	4.81971	2.7408	0.492061	lidar	0.777904	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.3963	20.581	4.83057	2.77171	0.501844	radar	1.16059	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1501	20.6558	4.84514	2.80265	0.506667	lidar	0.720073	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.9156	20.7276	4.85052	2.83395	0.51617	radar	0.348974	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.6457	20.7911	4.8866	2.86719	0.521924	lidar	1.90485	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.3992	20.8245	4.89194	2.91256	0.550102	radar	2.61476	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1518	20.8699	4.89769	2.94316	0.552682	lidar	0.190411	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
